dataset,protocol,method,method_label,coverage_mean,p10_well_coverage_mean,worst_well_coverage_mean,width_mean,winkler_mean,rmse_mean,macro_well_coverage_mean,macro_well_winkler_mean,coverage_sd,p10_well_coverage_sd,worst_well_coverage_sd,width_sd,winkler_sd,rmse_sd,macro_well_coverage_sd,macro_well_winkler_sd,rank_winkler
SPWLA_PDDA_2021,cross_well,catboost_cqr_signed,CatBoost Quantile+CQR,0.925636574074074,0.8843749999999999,0.8559027777777778,0.22568304215167861,0.26889376140231075,0.05287438118974963,0.925636574074074,0.26889376140231075,0.012129504003890705,0.024963352044797597,0.03749005221064573,0.10515677635516381,0.12526540355223584,0.027520528415599623,0.012129504003890705,0.12526540355223584,6
SPWLA_PDDA_2021,cross_well,hgb_cqr_signed,HGB-CQR,0.9331597222222222,0.8812500000000001,0.8541666666666666,0.24243511420430514,0.275944204345833,0.05684614861409151,0.9331597222222222,0.275944204345833,0.007517581630073188,0.020207058056839904,0.014084184669781202,0.09359712831208594,0.11080197700901744,0.035644713495182376,0.007517581630073188,0.11080197700901744,7
SPWLA_PDDA_2021,cross_well,lightgbm_cqr_signed,LightGBM Quantile+CQR,0.9429012345679012,0.9043402777777777,0.8828125,0.25442115994502784,0.28172768497879497,0.051676453466808325,0.9429012345679012,0.28172768497879497,0.015526901846884681,0.023706500276969255,0.028969525340217427,0.1266053041175371,0.1364101979693632,0.02483590132306524,0.015526901846884681,0.1364101979693632,8
SPWLA_PDDA_2021,within_well,ngboost_cqr_signed,NGBoost PI,0.8513117283950618,0.7994444444444445,0.7611111111111111,0.1912677030328152,0.384978173651995,0.0699661944025349,0.8513117283950618,0.384978173651995,0.02649022129799997,0.02526508762656046,0.03259268301492083,0.10699711606420778,0.2203600650125029,0.04290546924887789,0.026490221297999966,0.22036006501250294,1
SPWLA_PDDA_2021,within_well,global_rf_cqr,Global RF-CQR,0.8848765432098765,0.8293055555555555,0.7798611111111111,0.25671583692594424,0.41253465919823856,0.08316250323161989,0.8848765432098765,0.41253465919823856,0.03065753534767536,0.028195128617861918,0.020198666072568056,0.11768219541602426,0.21795814323295684,0.043855801868679115,0.03065753534767531,0.2179581432329568,2
SPWLA_PDDA_2021,within_well,wl_pcqr,WL-PCQR,0.8848765432098765,0.8293055555555555,0.7798611111111111,0.25671583692594424,0.41253465919823856,0.08316250323161987,0.8848765432098765,0.41253465919823856,0.03065753534767536,0.028195128617861918,0.020198666072568056,0.11768219541602426,0.21795814323295684,0.04385580186867911,0.03065753534767531,0.2179581432329568,2
SPWLA_PDDA_2021,within_well,extratrees_pcqr,ExtraTrees-PCQR,0.8793981481481482,0.8223611111111111,0.7256944444444444,0.27130394389493073,0.43339489260658265,0.09370963251273573,0.8793981481481482,0.43339489260658265,0.037204662628443394,0.048300994928791176,0.05932929527457561,0.1152263096298829,0.2376901539824519,0.04512448919921636,0.037204662628443394,0.23769015398245197,4
SPWLA_PDDA_2021,within_well,catboost_cqr_signed,CatBoost Quantile+CQR,0.846604938271605,0.78875,0.7631944444444445,0.24582230796640184,0.44090406291103623,0.08370043138070599,0.846604938271605,0.4409040629110362,0.012636429688848363,0.020643930706142177,0.030529897686985094,0.10954077687367451,0.22877726664908346,0.04008437434492958,0.012636429688848348,0.22877726664908346,5
SPWLA_PDDA_2021,within_well,lightgbm_cqr_signed,LightGBM Quantile+CQR,0.8863425925925926,0.8305555555555555,0.8083333333333333,0.3459402324956391,0.47044022439739386,0.07353349951190855,0.8863425925925926,0.47044022439739386,0.033903543052039305,0.04124579103105885,0.04592793267718459,0.16026541670529554,0.23338404850669195,0.03919912585872813,0.03390354305203934,0.2333840485066919,6
SPWLA_PDDA_2021,within_well,hgb_cqr_signed,HGB-CQR,0.8770833333333333,0.8120833333333333,0.7520833333333333,0.329120293084585,0.48584820270843143,0.08205886889182173,0.8770833333333334,0.48584820270843143,0.03228046400660131,0.016249999999999917,0.006250000000000042,0.1390440071730626,0.24122066290699168,0.040222887386068246,0.032280464006601346,0.24122066290699168,7
