method,method_label,target,splits,n,rmse,mae,r2,corr,coverage,width,width_std,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,worst_well,macro_well_width,macro_well_winkler,seed,frac,strategy
wl_pcqr,WL-PCQR,VSH,9,1152,0.04752336281381665,0.03456215828775767,0.926148232704515,0.9752162388039038,0.9123263888888888,0.14573858319519234,0.08035483127716159,0.6189054859309482,0.188872769051971,0.9123263888888888,0.8375,0.8125,1,0.14573858319519234,0.188872769051971,42,0.2,stratified
wl_pcqr,WL-PCQR,VSH,9,1008,0.07185337159678612,0.052140730643563435,0.8789254394388306,0.9667405857989847,0.623015873015873,0.09204325521859591,0.05693961664825969,0.6467760375546293,0.6232484559797471,0.623015873015873,0.375,0.26785714285714285,7,0.09204325521859592,0.6232484559797471,42,0.3,contiguous
wl_pcqr,WL-PCQR,VSH,9,1008,0.039741967776055744,0.02608409254023716,0.9635925556469832,0.983584836769012,0.9027777777777778,0.15671700333053787,0.08403460424104733,0.6028951829079422,0.20280173323718423,0.9027777777777778,0.8482142857142857,0.8125,6,0.1567170033305379,0.20280173323718423,42,0.3,random
wl_pcqr,WL-PCQR,VSH,9,1008,0.042968396985762373,0.030698402338604262,0.9551922040775034,0.9813893583724776,0.9246031746031746,0.1504214522989903,0.08317072251240427,0.5980760239534368,0.19145037884060317,0.9246031746031745,0.8696428571428572,0.8125,5,0.1504214522989903,0.19145037884060317,42,0.3,stratified
wl_pcqr,WL-PCQR,VSH,9,1296,0.06070109682161781,0.042656474026404226,0.9066977740183014,0.9687355831592227,0.6851851851851852,0.10970778965770055,0.06431530584009099,0.6033970128380828,0.3718938812934379,0.6851851851851851,0.5180555555555556,0.3958333333333333,5,0.10970778965770053,0.3718938812934379,7,0.1,contiguous
wl_pcqr,WL-PCQR,VSH,9,1296,0.05303814531019371,0.03707417131679542,0.9163273269847542,0.9700284242493522,0.9236111111111112,0.17834983238410798,0.09468038098893991,0.5103632078539364,0.2408287256548894,0.9236111111111112,0.8722222222222222,0.8055555555555556,0,0.17834983238410804,0.24082872565488941,7,0.1,random
wl_pcqr,WL-PCQR,VSH,9,1296,0.04897406356101307,0.034863243209381216,0.9250714295930743,0.9742917650859105,0.8888888888888888,0.17487481264907967,0.09374975676753108,0.5412334541303495,0.2443860357021847,0.8888888888888888,0.7833333333333333,0.6388888888888888,1,0.17487481264907964,0.2443860357021847,7,0.1,stratified
wl_pcqr,WL-PCQR,VSH,9,1152,0.06766593294266393,0.04792772297234479,0.8900916548738967,0.9650520024891865,0.6458333333333334,0.10665065099796824,0.06421083568928221,0.621979703179363,0.4669235112827168,0.6458333333333334,0.5265625,0.5078125,7,0.10665065099796824,0.4669235112827168,7,0.2,contiguous
wl_pcqr,WL-PCQR,VSH,9,1152,0.048190008858682035,0.032140406416917205,0.9170466835127663,0.9711441299002763,0.8611111111111112,0.12336894139736196,0.07247584400912757,0.5844399100550897,0.25352070567123863,0.8611111111111112,0.7265625,0.7265625,0,0.12336894139736196,0.25352070567123863,7,0.2,random
wl_pcqr,WL-PCQR,VSH,9,1152,0.04364723265637974,0.02900560324658351,0.9509391242783877,0.9788115578702286,0.9184027777777778,0.14911621205707634,0.0870011328274422,0.6371342954320207,0.20112067713408055,0.9184027777777778,0.8703125,0.7890625,1,0.14911621205707634,0.20112067713408055,7,0.2,stratified
wl_pcqr,WL-PCQR,VSH,9,1008,0.0721237426987291,0.05115515190353964,0.8800528526512226,0.9632172187709358,0.6240079365079365,0.09559385483450224,0.05983827598657702,0.636548439217786,0.5844499982338924,0.6240079365079365,0.3517857142857143,0.33035714285714285,7,0.09559385483450224,0.5844499982338923,7,0.3,contiguous
wl_pcqr,WL-PCQR,VSH,9,1008,0.0510776427504412,0.03646084371500581,0.9178891770833016,0.9696478982291165,0.8819444444444444,0.14219315626051368,0.06987561355871989,0.4985392936248252,0.21095666672703,0.8819444444444444,0.8357142857142856,0.75,1,0.14219315626051365,0.21095666672703003,7,0.3,random
wl_pcqr,WL-PCQR,VSH,9,1008,0.047390725004401384,0.034649757723418884,0.9287428552185221,0.9766130670140738,0.9404761904761905,0.16304777986085903,0.09190653611659023,0.5846174892340917,0.1958126309841967,0.9404761904761904,0.9160714285714285,0.9017857142857143,8,0.16304777986085905,0.1958126309841967,7,0.3,stratified
wl_pcqr,WL-PCQR,VSH,9,1296,0.059834921644729,0.041967614134546756,0.9099219257499587,0.9700625277318998,0.6790123456790124,0.11373809054053477,0.06888810359056514,0.6269990199411467,0.37557147596168444,0.6790123456790123,0.5194444444444445,0.3472222222222222,5,0.11373809054053477,0.37557147596168444,123,0.1,contiguous
wl_pcqr,WL-PCQR,VSH,9,1296,0.05149236209601502,0.03507572537160735,0.9378740354660927,0.9743212798200567,0.9174382716049383,0.17406098262126926,0.0806620596759957,0.4734479112731032,0.25285518803200646,0.9174382716049383,0.8222222222222222,0.75,5,0.17406098262126926,0.25285518803200646,123,0.1,random
wl_pcqr,WL-PCQR,VSH,9,1296,0.04947151946202286,0.03523815474424565,0.9235743333701081,0.9728822507365071,0.941358024691358,0.20667779212824305,0.09588218784459304,0.46686324313979843,0.24761948825723026,0.9413580246913581,0.8847222222222222,0.7847222222222222,1,0.20667779212824308,0.24761948825723026,123,0.1,stratified
